view,action,policy,complete_selected,predicted_positive,observed_positive,predicted_net,observed_net,predicted_denominator,observed_denominator
coupa_seed29,damped_velocity_005,old_net,5897,3234.5194924593116,2310.741398168493,2362.6210556933,1642.2450317630169,4376.952788596731,3620.273442762518
deathCircle_seed29,damped_velocity_005,old_net,7957,2341.5587911054836,875.5178428970464,2137.1998797007964,752.6928404169116,1303.7699986903394,948.0965489708095
gates_seed29,damped_velocity_005,old_net,3405,1434.0484511549637,606.3525552909405,1329.423572355391,514.7033947092166,747.5249889037198,509.914567857831
hyang_seed29,damped_velocity_005,old_net,19911,6483.164813132127,5587.325307961659,5857.139725545225,5072.2397315116095,4153.672141294299,5076.979452200645
coupa_seed29,damped_velocity_005,old_strict,3694,626.3420901704261,286.2125967732218,-165.93063718546483,-317.77104905706665,3430.1193465523043,2862.51738889983
deathCircle_seed29,damped_velocity_005,old_strict,4366,937.5886064852642,261.6179783228176,769.9976571411403,168.63340249954194,704.7780492904204,540.022044676587
gates_seed29,damped_velocity_005,old_strict,1415,273.9231084761998,162.5097147923992,191.50907458896975,87.63362122944304,363.19220834209864,323.3928514812412
hyang_seed29,damped_velocity_005,old_strict,8712,1533.6042730357922,1149.7358863712197,1047.3483661742837,720.4563657014878,2175.7837189715133,2495.6824798908865
coupa_seed29,damped_velocity_005,old_positive_point,1021,29.597741794284985,1.1818767123121292,-355.2753267820683,-494.3286652976494,1844.0197589741574,2351.4482501976345
deathCircle_seed29,damped_velocity_005,old_positive_point,167,2.1107934050465214,2.1945110067687095,-34.81637300775216,-41.57319894485407,151.61858224495774,182.15319759764884
gates_seed29,damped_velocity_005,old_positive_point,127,2.021354099169721,1.6103071478719437,-26.454166657274254,-33.34116864042961,129.6443933840598,157.91218474857413
hyang_seed29,damped_velocity_005,old_positive_point,1119,17.405345998072818,6.604531392100699,-193.27129752648165,-255.24035961097886,979.2780984023793,1238.8503041052231
coupa_seed29,damped_velocity_005,old_positive_population,3051,185.08564494334237,31.355983453652968,-585.8810480326334,-595.731368916732,3313.8101960994313,2844.047084438093
