arm,schedule,mode,group_type,group,rows,ade,cv_ade,gain_percent,harm_over_cv,easy_pixel_harm,actual_changed_rate
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video2:18,211,567.3017909767364,546.386768132164,-3.8278787233575917,20.915022844572242,0.03045213919222634,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video2:181,35,608.4053467408922,578.0833646115001,-5.245261148410663,30.321982129392264,0.038788020922914404,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video2:19,240,950.3516673477068,931.9656170620397,-1.9728249571725698,18.38605028566731,0.0349893709564634,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video2:224,46,514.5224437321876,482.08099242253854,-6.729460779323682,32.4414513096491,0.038205594529493354,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video2:239,37,595.3682140533957,568.437329695354,-4.737705099782041,26.93088435804172,0.031886461368446105,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video2:276,25,36.64241592410545,0.0,,36.64241592410545,0.03664241766452681,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video2:54,4,631.0249317772617,615.3279981492814,-2.55098641296867,15.696933627980371,,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video2:83,26,32.98928426932293,0.0,,32.98928426932293,0.03298928583622985,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video2:87,14,916.4071919259022,884.8852822068036,-3.562259464920303,31.52190971909892,0.03634656743380958,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video2:91,2,2795.615745891145,2791.666666666667,-0.14145955430966417,3.949079224478055,,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video3:1,37,484.8139293158635,467.34234234234236,-3.7384986102377615,17.471586973521223,0.020527944990335882,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video3:111,26,31.82694552143757,0.0,,31.82694552143757,0.03182694703313637,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video3:142,32,638.5855063169254,612.941973085625,-4.183680406516732,25.643533231300363,0.032858838783683605,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video3:15,14,2055.4417101204435,2038.8498715445476,-0.813784222539482,16.59183857589577,0.027612567884802364,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video3:158,25,33.36789077768378,0.0,,33.36789077768378,0.03336789236257356,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video3:167,36,1173.1464507676353,1166.8190530113297,-0.5422775485175446,6.3273977563058,,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video3:180,31,646.4061765965505,625.7165098871275,-3.306555985418269,20.689666709423015,0.03036054147790271,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video3:181,24,1748.5689707867616,1743.498762887637,-0.2908065097062318,5.0702078991249335,,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video3:183,47,213.0782955557312,189.35434141721132,-12.528867287097478,23.723954138519854,0.028959433901755056,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video3:184,14,22.68745632960587,0.0,,22.68745632960587,0.02268745740720222,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video3:186,14,26.738171975913836,0.0,,26.738171975913836,0.026738173245908856,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video3:190,14,31.223635964008995,0.0,,31.223635964008995,0.031223637447052126,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video3:2,25,32.52972779966573,0.0,,32.52972779966573,0.03252972934474489,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video3:219,42,623.3190064597763,600.9313216034949,-3.725498081302092,22.387684856281503,0.03336198643521924,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video3:239,35,404.6547058333178,378.904892725334,-6.795851307903211,25.749813107983865,0.03158231328824946,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video3:258,24,18.50387087745793,0.0,,18.50387087745793,0.01850387175634464,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video3:260,39,3335.022680856376,3324.3364604174567,-0.3214542380459706,10.686220438919289,0.0268789217134501,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video3:261,2,35.83997977544139,0.0,,35.83997977544139,0.03583998147774908,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video3:263,35,499.0021866229985,481.53247503752345,-3.6279404798427617,17.46971158547518,0.017193722958174312,1.0
