view,locality,slice,rows,positive_rows,probability_mean,positive_rate,brier,ece,positive_fraction_mse
damping097_fold0_seed17_easy_hurdle,eu-locality-110,selected,5026,155,0.03118254616856575,0.030839633903700755,0.029970593750476837,0.0007340120373258926,0.008962273972117171
damping097_fold0_seed17_easy_hurdle,eu-locality-119,population,5639,179,0.03478899598121643,0.03174321688242596,0.030905717983841896,0.003045776199947793,0.011480150618787816
damping097_fold0_seed17_easy_hurdle,eu-locality-119,selected,2019,53,0.03435417637228966,0.026250619118375434,0.026036420837044716,0.008103557102614668,0.011424850784714448
damping097_fold0_seed17_easy_hurdle,eu-locality-124,population,3550,77,0.03710209205746651,0.021690140845070423,0.022033030167222023,0.01541195613397679,0.0106269073385687
damping097_fold0_seed17_easy_hurdle,eu-locality-124,selected,1513,44,0.033666133880615234,0.029081295439524125,0.02857472188770771,0.005045409246008677,0.011136879638770938
neural_fold0_seed29_all_product_mse,eu-locality-007,population,5526,1667,0.35593459010124207,0.3016648570394499,0.21989582479000092,0.08089419620174278,0.03024513777416683
neural_fold0_seed29_all_product_mse,eu-locality-007,selected,936,214,0.3374044895172119,0.22863247863247863,0.19004052877426147,0.1171364239974218,0.027475274986439906
neural_fold0_seed29_all_product_mse,eu-locality-008,population,157961,44204,0.34007808566093445,0.27984122663189015,0.21913456916809082,0.13143111163247992,0.025502576865598186
neural_fold0_seed29_all_product_mse,eu-locality-008,selected,30501,4422,0.34035950899124146,0.14497885315235565,0.16380201280117035,0.1955457600580779,0.030370711357496683
neural_fold0_seed29_all_product_mse,eu-locality-020,population,1225,550,0.364570289850235,0.4489795918367347,0.26110920310020447,0.12363459877821865,0.023820870770249084
neural_fold0_seed29_all_product_mse,eu-locality-020,selected,79,6,0.1999923586845398,0.0759493670886076,0.09044045209884644,0.12404301083540613,0.025194392626270823
neural_fold0_seed29_all_product_mse,eu-locality-048,population,8058,2800,0.3232395350933075,0.34748076445768183,0.2383100390434265,0.09271770763423845,0.02332010999442148
neural_fold0_seed29_all_product_mse,eu-locality-048,selected,1419,214,0.34085020422935486,0.15081042988019733,0.16395369172096252,0.1907538636426761,0.0273579245539314
neural_fold0_seed29_all_product_mse,eu-locality-067,population,6903,2422,0.31845155358314514,0.35086194408228305,0.2368595153093338,0.0655592839911798,0.023569170593737053
neural_fold0_seed29_all_product_mse,eu-locality-067,selected,983,204,0.32436347007751465,0.20752797558494404,0.18204447627067566,0.13205224138401292,0.026501031469701376
