view,locality,slice,rows,reference_pred,harm_pred,reference_actual,harm_actual
neural_fold0_seed17_easy_product_mse,eu-locality-020,population,1225,0.673387348651886,0.09972136467695236,0.9551284881322778,0.7508912159407349
neural_fold0_seed17_easy_product_mse,eu-locality-020,selected,265,0.9623090624809265,0.0008412743918597698,1.1040353892279233,0.2839847156177859
neural_fold0_seed17_easy_product_mse,eu-locality-048,population,8058,0.6099197268486023,0.07827913016080856,0.5830876920964152,0.06849295084388149
neural_fold0_seed17_easy_product_mse,eu-locality-048,selected,2374,0.7238560914993286,0.003090044017881155,0.8528887289831443,0.028848690485705836
neural_fold0_seed17_easy_product_mse,eu-locality-067,population,6903,0.581691324710846,0.0566675178706646,0.4646461940217647,0.0614256585477076
neural_fold0_seed17_easy_product_mse,eu-locality-067,selected,1960,0.6399955749511719,0.0030580160673707724,0.662746012670889,0.03490010572742006
neural_fold0_seed17_easy_product_mse,eu-locality-110,population,8550,0.7688414454460144,0.04015655070543289,0.7106936151634808,0.011626872650691308
neural_fold0_seed17_easy_product_mse,eu-locality-110,selected,3369,0.8053908348083496,0.0039123608730733395,0.9259243903345432,0.010756630410726055
neural_fold0_seed17_easy_product_mse,eu-locality-119,population,5639,0.644767701625824,0.04561341181397438,0.6896404096672981,0.11954689467817678
neural_fold0_seed17_easy_product_mse,eu-locality-119,selected,1646,0.732833743095398,0.004252815153449774,0.9210667490136597,0.04572146993921887
neural_fold0_seed17_easy_product_mse,eu-locality-124,population,3550,0.6737044453620911,0.05805080384016037,0.7299412652237124,0.025034008247332627
neural_fold0_seed17_easy_product_mse,eu-locality-124,selected,1028,0.7841324806213379,0.004182124976068735,1.013786787273477,0.011873122530364658
neural_fold0_seed17_easy_hurdle,eu-locality-007,population,5526,0.7213534116744995,0.07758218050003052,0.7150531000730783,0.09515704515280032
neural_fold0_seed17_easy_hurdle,eu-locality-007,selected,976,0.7826428413391113,0.005894955713301897,0.9137826209740276,0.05402754744801225
neural_fold0_seed17_easy_hurdle,eu-locality-008,population,157961,0.6493452191352844,0.13315951824188232,0.772520484965893,0.10615158084356123
neural_fold0_seed17_easy_hurdle,eu-locality-008,selected,20386,0.7411167025566101,0.006799690891057253,1.4842652426289495,0.011901581024680809
neural_fold0_seed17_easy_hurdle,eu-locality-020,population,1225,0.6458698511123657,0.14068445563316345,0.9551284881322778,0.7508912159407349
neural_fold0_seed17_easy_hurdle,eu-locality-020,selected,217,0.656106173992157,0.0029908448923379183,1.2027626684630566,0.001148797856382518
neural_fold0_seed17_easy_hurdle,eu-locality-048,population,8058,0.6287175416946411,0.2032308131456375,0.5830876920964152,0.06849295084388149
neural_fold0_seed17_easy_hurdle,eu-locality-048,selected,774,0.78536057472229,0.007346703205257654,1.4060077525576247,0.01040614135196187
neural_fold0_seed17_easy_hurdle,eu-locality-067,population,6903,0.6698701977729797,0.1979440301656723,0.4646461940217647,0.0614256585477076
