view,locality,rows,selected,selected_known_ADE,predicted_risk_violations,selected_positive_harm_mean,selected_net_gain_mean
neural_fold0_seed29_all_hurdle_at_product,eu-locality-020,1282,79,72,0,0.0012289242482832119,0.8410594792036458
neural_fold0_seed29_all_hurdle_at_product,eu-locality-048,8344,1441,1421,0,0.044336403610263794,0.8329862824974503
neural_fold0_seed29_all_hurdle_at_product,eu-locality-067,7105,1001,986,0,0.15898344446629073,1.5117722493882866
neural_fold0_seed29_all_hurdle_at_product,eu-locality-110,8660,2057,2041,0,0.03287757054920505,0.9322999530897059
neural_fold0_seed29_all_hurdle_at_product,eu-locality-119,5787,1102,1097,0,0.03933067275373445,0.48215062420853055
neural_fold0_seed29_all_hurdle_at_product,eu-locality-124,3651,567,564,0,0.014548089725031561,1.59369944564677
neural_fold0_seed29_all_product_at_hurdle,eu-locality-007,5664,1769,1731,813,0.23942515628446015,1.2042804606761142
neural_fold0_seed29_all_product_at_hurdle,eu-locality-008,161653,53474,52830,22630,0.3413274553868901,0.9686878416525386
neural_fold0_seed29_all_product_at_hurdle,eu-locality-020,1282,156,144,77,0.23867759017950535,0.3914937841286321
neural_fold0_seed29_all_product_at_hurdle,eu-locality-048,8344,2281,2250,840,0.44162121286351086,0.8655579542074114
neural_fold0_seed29_all_product_at_hurdle,eu-locality-067,7105,1740,1704,739,0.5137136536672922,1.0421097017755065
neural_fold0_seed29_all_product_at_hurdle,eu-locality-110,8660,3728,3693,1671,0.08646322854588728,1.3433670628947165
neural_fold0_seed29_all_product_at_hurdle,eu-locality-119,5787,1809,1795,707,0.5643693708180585,0.4494507361810489
